;location_id;img_url;source;updated_at
0;80998925;https://upload.wikimedia.org/wikipedia/commons/0/0d/Skanderbeg_square_tirana_2016.jpg;By Photo: Chris Walts - https://www.flickr.com/photos/crashadventures/29132716184/in/album-72157673937327166/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=52560559;2024-01-16 11:18:39.821564
1;81211924;https://upload.wikimedia.org/wikipedia/commons/1/14/Panorama_of_Durres_Port.jpg;By Photo by: Matthias KrüttgenFlickr: https://www.flickr.com/photos/redstarpictures/ - https://www.flickr.com/photos/redstarpictures/6023264068/in/photolist-abfNyu-aaX8ku-aaX86Q-aaUhKg-aaUhhT-9YemJk-9YemiK-9STEEL-8X2vXc-8JoF4c-8JrJ85-8Fx4eP-8FwvhX-8Fwk2i-8FqjkL-8ExRad-8ExPoh-8zTuV9-8wdkSj-8wdkSs-8fvrqE-8cXuTm-7JBJaB-7yFgPb-7vExYu-7qGXD5-7qD1k2-7qGW6J-7qCZxT-7ny4FV-7nBeuN-7kV1oL-7kR7eT-7jDvYs-7ccrwd-6USKyr-6TJXae-6P4g7X-6CZVCY-6y9DsE-6nwv5D-69BzXV-5wetjU-5swdoo-5nPKhB-5nTZDJ-5nPKbF-5nPKae-5nTZzs-5nTZy9, CC0, https://commons.wikimedia.org/w/index.php?curid=52241307;2024-01-16 11:18:39.821564
2;80988305;https://upload.wikimedia.org/wikipedia/commons/4/47/The_old_town_of_Berat_2019.jpg;By Michel NOCTURE - https://www.flickr.com/photos/144345986@N05/49711232828/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=92359967;2024-01-16 11:18:39.821564
3;81163855;https://upload.wikimedia.org/wikipedia/commons/b/be/Fier_from_the_air.jpg;By albinfo - Own work, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=16239214;2024-01-16 11:18:39.821564
4;82606854;https://upload.wikimedia.org/wikipedia/commons/1/16/Gjirokaster_2016-2017.jpg;By Name: ArminFlickr: flickr.com/octopuzz/ - https://www.flickr.com/photos/octopuzz/28002778865/in/album-72157669662676366/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=56371417;2024-01-16 11:18:39.821564
5;82714653;https://upload.wikimedia.org/wikipedia/commons/3/37/Kor%C3%A7a_02.jpg;By ShkelzenRexha - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=52268638;2024-01-16 11:18:39.821564
6;81264380;https://upload.wikimedia.org/wikipedia/commons/4/43/Kruj%C3%AB-KrujaAlbania_2016.jpg;By Photo: Chris Walts - https://www.flickr.com/photos/crashadventures/29647840462/in/album-72157673937327166/, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=52560679;2024-01-16 11:18:39.821564
7;82034592;https://upload.wikimedia.org/wikipedia/commons/f/f8/The_City_and_the_Prokletije_from_the_castle.jpg;By Ivan Koev - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=79318029;2024-01-16 11:18:39.821564
8;77184705;https://upload.wikimedia.org/wikipedia/commons/d/db/Algeria_capital.jpg;By Aymen el bahi - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=142915061;2024-01-16 11:18:39.821564
9;80236500;https://upload.wikimedia.org/wikipedia/commons/8/81/Tourist_sites_in_Annaba.jpg;By Aymen el bahi - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=143473072;2024-01-16 11:18:39.821564
10;76870281;https://upload.wikimedia.org/wikipedia/commons/6/6f/Al_Atik_mosqu%C3%A9e_Batna_222.jpg;By Great11 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=57336331;2024-01-16 11:18:39.821564
11;289873520;https://upload.wikimedia.org/wikipedia/commons/3/37/Bashar_al-Assad_meets_with_Khamenei_2022_%28cropped%29.jpeg;By Mehr News Agency, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=119069583;2024-01-16 11:18:39.821564
12;77509915;https://upload.wikimedia.org/wikipedia/commons/6/64/%D9%85%D8%B9%D8%A7%D9%84%D9%85_%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D9%82%D8%B3%D9%86%D8%B7%D9%8A%D9%86%D8%A9.jpg;By Aymen el bahi - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=143468954;2024-01-16 11:18:39.821564
13;288454183;https://upload.wikimedia.org/wikipedia/commons/2/2b/Front_de_mer_d%27oran.jpg;By Ali oathkeeper - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=79171570;2024-01-16 11:18:39.821564
14;77619853;https://upload.wikimedia.org/wikipedia/commons/d/d5/Setif_tourist_areas.jpg;By Aymen el bahi - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=143506177;2024-01-16 11:18:39.821564
15;76738370;https://upload.wikimedia.org/wikipedia/commons/9/94/DZ-11_Tamanrasset.svg;By Mouh2jijel - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=93440187;2024-01-16 11:18:39.821564
16;47786095;https://upload.wikimedia.org/wikipedia/commons/1/1e/Puerto_Madero%2C_Buenos_Aires_%2840689219792%29_%28cropped%29.jpg;By Deensel - Puerto Madero, Buenos Aires, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=118257355;2024-01-16 11:18:39.821564
17;37182783;https://upload.wikimedia.org/wikipedia/commons/9/91/Montaje_CBA_9.jpg;By Alakasam - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=16325180;2024-01-16 11:18:39.821564
18;48378348;https://upload.wikimedia.org/wikipedia/commons/1/16/Casco_urbano_fundacional_de_la_Ciudad_de_La_Plata.jpg;By Federico Pinto - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=28759012;2024-01-16 11:18:39.821564
19;34018474;https://upload.wikimedia.org/wikipedia/commons/5/53/Downtown_Mendoza.jpg;By David - originally posted to Flickr as Downtown Mendoza, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=6013100;2024-01-16 11:18:39.821564
20;46858241;https://upload.wikimedia.org/wikipedia/commons/e/ea/Montaje_Rosario_01.jpg;By Bleff - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=11679179;2024-01-16 11:18:39.821564
21;36762900;https://upload.wikimedia.org/wikipedia/commons/0/04/Salta_Montage.jpg;By Montage by Bleff, photographs by Mariano and No gravity / David - Photo by Mariano, cc-by-sa-3.0Photo by No gravity / David, cc-by-2.0Photo by Mariano, cc-by-sa-3.0Photo by No gravity / David, cc-by-2.0Photo by No gravity / David, cc-by-2.0, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=12431072;2024-01-16 11:18:39.821564
22;33165792;https://upload.wikimedia.org/wikipedia/commons/6/65/CENTRO_CIVICO_38.jpg;By Carlos Ravazzani - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=21662255;2024-01-16 11:18:39.821564
23;37037556;https://upload.wikimedia.org/wikipedia/commons/0/03/Collage_Ciudad_de_San_Juan.jpg;By Capitalsj - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=27466208;2024-01-16 11:18:39.821564
24;215593360;https://upload.wikimedia.org/wikipedia/commons/4/45/Mount_Ararat_and_the_Yerevan_skyline_%28June_2018%29.jpg;By Սէրուժ Ուրիշեան (Serouj Ourishian) - Own work, CC BY 4.0, https://commons.wikimedia.org/w/index.php?curid=69883922;2024-01-16 11:18:39.821564
25;217036984;https://upload.wikimedia.org/wikipedia/commons/2/24/Coat_of_arms_of_Alaverdi.png;By Unknown author - https://alaverdi.am/Pages/Home/Default.aspx, Public Domain, https://commons.wikimedia.org/w/index.php?curid=117820870;2024-01-16 11:18:39.821564
26;216150937;https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Dilijan.jpg;By Dilijan Hamaynqapetaran - Given permission by officials from the Dilijan city hall over Messenger, who also requested that, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=131501309;2024-01-16 11:18:39.821564
27;216207867;https://upload.wikimedia.org/wikipedia/commons/b/b3/Goris_new_mix_2021.jpg;By See above - File:Goris en 2020.jpg by AndyHM © {{Cc-by-sa-4.0}}File:Goris entrance bells, ArmAg.JPG by Armineaghayan © {{Cc-by-sa-4.0}}File:Goris inhabited rocks.jpg by Matheus Hobold Sovernigo © {{Cc-by-sa-4.0}}File:Goris Jan 2020 09 21 20 951000.jpeg by Robot8A © {{Cc-by-sa-4.0}}File:2014 Prowincja Sjunik, Goris, Widok na Stary Goris (Kores) (07).jpg by Marcin Konsek © {{Cc-by-sa-4.0}}File:Cultural heritage monuments in Goris, Syunik 04.jpg by Soghomon Matevosyan © {{Cc-by-sa-4.0}}File:Գորիսի Սբ. Հռիփսիմե եկեղեցի.jpg by Արարատ Թրվանց © {{Cc-by-sa-4.0}}File:Goris Cathedral (36784924514).jpg by David Stanley from Nanaimo, Canada © {{Cc-by-2.0}}, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=106369807;2024-01-16 11:18:39.821564
