,location_id,text,category_id
0,80998925,"Tirana (Albanian: Tiranë) is the bustling and relatively modernised capital of Albania. It is the most important economic, financial, political and trade centre in the country. The city was announced as the European Youth Capital for 2022. Many tourists usually find Tirana a charming city, with both cosmopolitan and small town feelings, and a lively night life. Unpaved streets host brand new Land Rovers, iPhone-toting youngsters rub shoulders with street vendors peddling all manner of items, and gleaming glass towers look down on abandoned construction projects.",0
1,81211924,"Durrës is an Albanian Adriatic port city. It has ferries to Bari and Ancona in (Italy) and bus connections to other Albanian and international destinations, often via Tirana. Alternative spellings of the city's name are Durazzo (Italian), Drač (Драч, Serbo-Croatian) or Dyrrhachion (Δυρράχιον, Greek).",0
2,80988305,"Berat is a city in Albania. In 2008 it was designated as a UNESCO World Heritage Site as it is a rare example of a well-preserved Ottoman city. It is one of the country's most beautiful cities, and is known as the ""city of a thousand windows"".",0
3,81163855,"Fier is a city in Albania. It is a modern and uninteresting city, which serves as a transit point on the way from Tirana and Durres to the southern part of the country. Near Fier is Apollonia, one of the country's main monuments of ancient times.",0
4,82606854,Gjirokastër is a town and a UNESCO world heritage site in Southeastern Albania.,0
5,82714653,Korçë (Korça) is the principal city and an important cultural and industrial centre in the district of Korçë in Southeastern Albania.,0
6,81264380,"Kruje, also Kruja in English, is a city in Albania just north of Tirana that is rich in history. Kruja has a long list of attractions to offer tourists from the ancient castle nestled in the craggy rocks, two museums, stunning views, a nearby national park, sacred temples, natural springs, the ancient city ruins of Albanopolis, and the old bazaar.",0
7,82034592,"Shkodër (Albanian: Shkodra) was the capital city of Albania for centuries until 1915 when World War I broke out. Now it is the second largest city in Albania with 135,612 people.",0
8,77184705,"Located on the Mediterranean coast, Algiers is a city of contrasts, with a blend of modern and traditional architecture, as well as stunning natural beauty. Tourists to Algiers can explore its rich cultural heritage, including its Ottoman and French colonial influences, or take in the breathtaking views of the Bay of Algiers.",0
9,80236500,Annaba is a coastal city in Northeast Algeria.,0
10,76870281,"Batna is a city in Northeast Algeria. It is also the main city and commune of Batna Province. With a population of around 340,000, it is the fifth largest city in Algeria.",0
11,289873520,Bashar is a city in Algeria's Saharan Atlas region. ,0
12,77509915,"Constantine (Arabic: قسنطينة, Qusantinah; Berber: ⵇⵙⵏⵟⵉⵏⴰ, qsnṭina) is a city in Northeast Algeria and the capital of Constantine Province. It is a famous tourist spot known for its breathtaking canyons, magnificent bridges, and picturesque location.",0
13,288454183,"Oran (Arabic: وَهران, Wahran) is the second largest city in Algeria and the capital of Oran province, with more than 1,500,000 people.",0
14,77619853,Sétif is a city in Northeast Algeria.,0
15,76738370,"Tamanghasset (Arabic: تامنراست) is an oasis city deep in Saharan Algeria. It is the capital of Tamanghasset Province, and has a population of around 100,000 people. ",0
16,47786095,"Buenos Aires is the capital of Argentina and one of Latin America's most culturally significant cities. It is a city of beautiful parks and belle epoque architecture, a place of big historical events, and a city of intimate cafes and cosmopolitan nightlife.",0
17,37182783,"Córdoba is the second largest city in Argentina, with about 1.4 million inhabitants, and is the capital of Cordoba province. It is known for its rich colonial heritage and its old university, now the second-largest of the country. You can’t miss the historical centre and the magnificent churches, the Cathedral and the Jesuitic quarter with the Montserrat School and the old University buildings. Also, Córdoba is home to the perhaps most popular Argentine Latin pop music genre, cuarteto. ",0
18,48378348,"La Plata is the capital city of Buenos Aires Province. This planned city is recognized for its layout, a perfect square with the ""Historic Axis"" preserved intact until today; and for the outstanding design of the diagonals that cross it forming rhombuses within its contour, forests and squares placed exactly every six blocks.",0
19,34018474,"Mendoza is a city in western Argentina, in the desert Cuyo region. Mendoza is the center of the Argentinian wine industry, for which it is world renowned. It is also near the Aconcagua, the highest mountain outside of the Himalayas. Mendoza is the capital of the province of Mendoza.",0
20,46858241,"Rosario is the third largest city in Argentina and the largest city in Santa Fe province, at the Paraná river. It is known for its rich architectural heritage and beautiful riverside scenery, and offers a vibrant cultural and night life.",0
21,36762900,"Salta is the capital of the province of Salta, up in the mountains in northern Argentina. Salta is typically visited as a launching point for the nature and small towns in the region, but has its own charms and sights worth seeing too.",0
22,33165792,"Bariloche is in the Río Negro Province, near the Nahuel Huapi National Park in Argentina.",0
23,37037556,"San Juan is the capital of Puerto Rico and its largest city, with 342,000 (2020) inhabitants in the municipality and 2,203,000 in the metropolitan area. Founded in 1521 by the Spanish conquistadors, San Juan is the oldest city under the jurisdiction of the United States. San Juan is located in the north-east coast of Puerto Rico and features distinctly centuries-old architecture, such as Spanish military forts built from the 1540s to 1800s, an active harbor, and a very active economic area in the Hato Rey and Santurce districts. San Juan has magnificent beaches, hotels, plazas, historic sites, and museums.",0
24,215593360,"Yerevan (Armenian: Երեւան, Երևան) is the capital of the Republic of Armenia, one of the three hubs of the South Caucasus and is home to over a million people (2022) — the largest Armenian community in the world. In Soviet years Yerevan underwent massive reconstruction, following architect Alexander Tamanyan's plan to make a ""perfect city"" - a Neo-Classical town with wide avenues, resembling Paris, Vienna and Saint Petersburg. As a result, the city is easily accessible by foot and boasts a dense assortment of parks, galleries, museums, and other public institutions.",0
25,217036984,"Alaverdi (Armenian: Ալավերդի) is a city in Northern Armenia, and an important commercial and industrial centre in this region.",0
26,216150937,"Dilijan is a town with mild climate and fresh air to the northeast of Yerevan. It is famous for its lovely surroundings, called the ""Armenian Switzerland"" by the locals, due to the densely forested valleys and mountains with alpine meadows surrounding them. It is an excellent base for hiking.",0
27,216207867,"Goris (Գորիս) is a city in Southern Armenia. Goris is a favoured destination of many local and foreign tourists, with a lot of hotels and inns. The stone-pyramids of Old Kores are one of the most attractive sites in Goris.",0
28,215014350,Gyumri is the second largest city in Armenia and the capital of Shirak Province in Northern Armenia.,0
29,215473686,Jermuk is a spa town in Southern Armenia.,0
30,51330975,"Canberra was built to be the capital city of Australia, taking up all of Australian Capital Territory in the southeast of New South Wales. A planned city with national monuments, museums, and galleries all built around large man-made lakes. The bush capital - Canberra is also a great place to enjoy the outdoors, with excellent cycling, gardens, parks, bushwalking and nature reserves.",0
31,49206775,"Adelaide is the capital city of South Australia. It lies on the eastern shores of Gulf St Vincent in the central, southern part of the Australian continent. Adelaide is Australia's fifth largest city, with a population of over 1.2 million. More than three quarters of South Australians live in the Adelaide metropolitan area.",0
