Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates
RAM;Ramingining;Ramingining;Australia;AU;-12.0;134.816667;802;\N;2077456;-12.0, 134.816667
NSO;Scone;Scone;Australia;AU;-32.166667;150.916667;802;\N;2077456;-32.166667, 150.916667
HLS;St Helens;St Helens;Australia;AU;-41.0;148.175;802;\N;2077456;-41.0, 148.175
MVS;Aeroporto Max Feffer;Mucuri;Brazil;BR;-18.048889;-39.864167;316;3456593;3469034;-18.048889, -39.864167
KRE;Kirundo;Kirundo;Burundi;BI;-2.55;30.1;503;432456;433561;-2.55, 30.1
YCZ;Fairmont Hot Springs;Fairmont Hot Springs;Canada;CA;50.330278;-115.873333;906;\N;6251999;50.330278, -115.873333
ISM;Kissimmee Gateway;Kissimmee;United States;US;28.283333;-81.433333;67;4160983;6252001;28.283333, -81.433333
AAF;Municipal;Apalachicola;United States;US;29.733333000000002;-85.033333;67;4146148;6252001;29.733333000000002, -85.033333
BMR;Baltrum;Baltrum Island;Germany;DE;53.731111;7.375833;429;\N;2921044;53.731111, 7.375833
PYV;Yaviza;Yaviza;Panama;PA;8.133333;-77.7;162;3699980;3703433;8.133333, -77.7
SHG;Shungnak;Shungnak;United States;US;66.883333;-157.05;67;\N;6252001;66.883333, -157.05
CBS;Oro Negro;Cabimas;Venezuela;VE;10.383333;-71.466667;388;3647651;3625428;10.383333, -71.466667
KAB;Kariba;Kariba;Zimbabwe;ZW;-16.516666999999998;28.883333;565;889215;878675;-16.516666999999998, 28.883333
CJU;Jeju Airport;Jeju;Korea;KR;33.504722;126.493056;778;1846266;1835841;33.504722, 126.493056
LUD;Luderitz;Luderitz;Namibia;NA;-26.666667;15.341667;575;3355672;3355338;-26.666667, 15.341667
KUI;Kawau Island;Kawau Island;New Zealand;NZ;-36.466667;174.833333;851;\N;2186224;-36.466667, 174.833333
BXX;Borama International;Borama;Somalia;SO;9.933333;43.15;573;\N;51537;9.933333, 43.15
NLV;Nikolaev;Nikolaev;Ukraine;UA;47.05;31.916667;488;700569;690791;47.05, 31.916667
XKA;Kantchari;Kantchari;Burkina Faso;BF;12.483333;1.516667;593;\N;2361809;12.483333, 1.516667
COM;Coleman;Coleman;United States;US;31.833333;-99.433333;67;4989304;6252001;31.833333, -99.433333
WRB;Robins AFB;Macon;United States;US;50.033333;4.2;67;4434645;6252001;50.033333, 4.2
VTU;Las Tunas;Las Tunas;Cuba;CU;20.983333;-76.933333;219;3550598;3562981;20.983333, -76.933333
QPJ;Pecs-Pogany;Pecs;Hungary;HU;45.989167;18.242222;437;3046526;719819;45.989167, 18.242222
PKE;Parkes;Parkes;Australia;AU;-33.133333;148.233333;802;2153778;2077456;-33.133333, 148.233333
YLF;LaForges;LaForges;Canada;CA;54.183333;-72.483333;906;\N;6251999;54.183333, -72.483333
IGS;Ingolstadt-manching;Ingolstadt-manching;Germany;DE;49.662222;9.9275;429;\N;2921044;49.662222, 9.9275
PAB;Bilaspur;Bilaspur;India;IN;22.5;82.166667;733;1275637;1269750;22.5, 82.166667
FKQ;Fak Fak;Fak Fak;Indonesia;ID;2.933333;132.266667;832;\N;1643084;2.933333, 132.266667
TNB;Tanah Grogot;Tanah Grogot;Indonesia;ID;2.95;99.816667;832;\N;1643084;2.95, 99.816667
AJK;Araak;Araak;Iran;IR;34.133056;49.833056;632;\N;130758;34.133056, 49.833056
SMM;Semporna;Semporna;Malaysia;MY;4.45;118.6;749;1733697;1733045;4.45, 118.6
CUA;Ciudad Constitucion;Ciudad Constitucion;Mexico;MX;25.05;-111.65;148;4013723;3996063;25.05, -111.65
KBW;Chignik Bay;Chignik;United States;US;56.296389;-158.399444;67;\N;6252001;56.296389, -158.399444
KCG;Fisheries;Chignik;United States;US;56.3;-158.4;67;\N;6252001;56.3, -158.4
CDK;Lewis;Cedar Key;United States;US;29.133333;-83.033333;67;\N;6252001;29.133333, -83.033333
JQE;Jaque;Jaque;Panama;PA;7.75;-78.25;162;3708432;3703433;7.75, -78.25
LAB;Lablab;Lablab;Papua New Guinea;PG;-5.633333;148.066667;804;\N;2088628;-5.633333, 148.066667
CRK;Diosdado Macapagal International;Angeles City;Philippines;PH;15.183333;120.533333;766;\N;1694008;15.183333, 120.533333
ADM;Ardmore Municipal Arpt;Ardmore;United States;US;34.966667;-86.883333;67;5178481;6252001;34.966667, -86.883333
BPI;Big Piney-marbleton;Big Piney;United States;US;42.583333;-110.116667;67;\N;6252001;42.583333, -110.116667
CAQ;Caucasia;Caucasia;Colombia;CO;7.6;-75.25;327;3687025;3686121;7.6, -75.25
MHX;Manihiki Island;Manihiki Island;Cook Islands;CK;-10.366667;-161.0;813;\N;1899402;-10.366667, -161.0
SKV;Mount Sinai;Santa Katarina;Egypt;EG;28.5;33.95;591;\N;357994;28.5, 33.95
MTV;Mota Lava;Mota Lava;Vanuatu;VU;-13.816667;167.7;885;\N;2134431;-13.816667, 167.7
TAK;Takamatsu;Takamatsu;Japan;JP;34.75;133.516667;736;1851100;1861060;34.75, 133.516667
IHU;Ihu;Ihu;Papua New Guinea;PG;-7.9;145.383333;804;\N;2088628;-7.9, 145.383333
KEN;Kenema;Kenema;Sierra Leone;SL;7.866667;-11.2;571;2407790;2403846;7.866667, -11.2
SVY;Savo;Savo;Solomon Islands;SB;-9.166667;159.833333;874;\N;2103350;-9.166667, 159.833333
RAV;Cravo Norte;Cravo Norte;Colombia;CO;6.316667;-70.183333;327;3685702;3686121;6.316667, -70.183333
NKY;Nkayi;Nkayi;Congo;CG;-2.933333;14.266667;515;2259383;2260494;-2.933333, 14.266667
TUA;Tulcan;Tulcan;Ecuador;EC;-0.8;-77.716667;337;\N;3658394;-0.8, -77.716667
YKG;Kangirsuk;Kangirsuk;Canada;CA;60.027222;-69.999167;906;\N;6251999;60.027222, -69.999167
NLF;Darnley Island;Darnley Island;Australia;AU;-9.566667;143.75;802;\N;2077456;-9.566667, 143.75
LNO;Leonora;Leonora;Australia;AU;-28.883333;121.3;802;\N;2077456;-28.883333, 121.3
FLN;Hercilio Luz;Florianopolis;Brazil;BR;-27.670556;-48.547222;316;3463237;3469034;-27.670556, -48.547222
QMM;Marina Di Massa;Marina Di Massa;Italy;IT;42.766667;10.233333;450;\N;3175395;42.766667, 10.233333
NCA;North Caicos;North Caicos;Turks and Caicos Islands;TC;21.883333;-71.95;281;\N;3576916;21.883333, -71.95
CVO;Albany;Albany;United States;US;44.5;-123.283333;67;5710756;6252001;44.5, -123.283333
PRE;Pore;Pore;Colombia;CO;5.733333;-71.983333;327;3671901;3686121;5.733333, -71.983333
FTX;Owando;Owando;Congo;CG;-0.9833329999999991;16.008333;515;2255542;2260494;-0.9833329999999991, 16.008333
LRK;Coast Guard;Lincoln Rock, AK;United States;US;-16.116667;-68.316667;67;\N;6252001;-16.116667, -68.316667
DLS;Columbia Gorge Regional/The Dalles Municipal Airport;The Dalles;United States;US;45.618611;-121.167222;67;5756304;6252001;45.618611, -121.167222
HEY;Hanchey Army Heliport;Ozark;United States;US;53.116667;22.45;67;4402245;6252001;53.116667, 22.45
SBX;Shelby;Shelby;United States;US;48.533333;-111.866667;67;5677433;6252001;48.533333, -111.866667
SCI;San Cristobal;San Cristobal;Venezuela;VE;7.766667;-72.233333;388;3628473;3625428;7.766667, -72.233333
DZI;Codazzi;Codazzi;Colombia;CO;9.6;-73.45;327;\N;3686121;9.6, -73.45
IPH;Sultan Azlan Shah Airport;Ipoh;Malaysia;MY;4.568056;101.092222;749;1734634;1733045;4.568056, 101.092222
AME;Alto Molocue;Alto Molocue;Mozambique;MZ;-15.65;37.683333;550;\N;1036973;-15.65, 37.683333
IUE;Hanan;Niue Island;Niue;NU;-19.0;-169.0;852;\N;4036232;-19.0, -169.0
RNR;Robinson River;Robinson River;Papua New Guinea;PG;-10.15;148.816667;804;\N;2088628;-10.15, 148.816667
ALI;International;Alice;United States;US;27.733333000000002;-98.016667;67;4670234;6252001;27.733333000000002, -98.016667
POH;Municipal;Pocahontas;United States;US;42.75;-94.65;67;4871727;6252001;42.75, -94.65
SLC;Salt Lake City International;Salt Lake City, UT;United States;US;40.788333;-111.966667;67;5780993;6252001;40.788333, -111.966667
YDO;St Methode;Dolbeau;Canada;CA;48.883333;-72.233333;906;\N;6251999;48.883333, -72.233333
YKF;Kitchener-Waterloo Regional;Kitchener/Waterloo;Canada;CA;43.460833;-80.378611;906;5992996;6251999;43.460833, -80.378611
YQT;Thunder Bay;Thunder Bay;Canada;CA;48.371667;-89.323889;906;6166142;6251999;48.371667, -89.323889
WUX;Wuxi;Wuxi;China;CN;31.494444;120.429444;713;1790923;1814991;31.494444, 120.429444
RAR;Rarotonga;Rarotonga;Cook Islands;CK;-21.2;-159.8;813;\N;1899402;-21.2, -159.8
MOK;Mankono;Mankono;Cote D'Ivoire;CI;8.45;-6.866667;533;2284589;2287781;8.45, -6.866667
KLO;Kalibo;Kalibo;Philippines;PH;11.7;122.366667;766;\N;1694008;11.7, 122.366667
LUE;Lucenec;Lucenec;Slovak Republic;SK;48.35;19.741667;483;3058986;;48.35, 19.741667
LUG;Lugano;Lugano/Agno;Switzerland;CH;46.970278;8.910278;486;2659836;2658434;46.970278, 8.910278
ORM;Northampton;Northampton;United Kingdom;GB;52.3;-0.783333;493;2641430;2635167;52.3, -0.783333
MMN;Minute Man Airfield;Stow;United States;US;42.433333;-71.502778;67;5173171;6252001;42.433333, -71.502778
RGT;Japura;Rengat;Indonesia;ID;-0.4;102.333333;832;\N;1643084;-0.4, 102.333333
KRC;Kerinci;Kerinci;Indonesia;ID;-1.716667;101.25;832;\N;1643084;-1.716667, 101.25
XQV;Baqubah;Baqubah;Iraq;IQ;33.744722;44.593333;634;97990;99237;33.744722, 44.593333
KTL;Kitale;Kitale;Kenya;KE;0.966666999999999;34.95;535;191220;192950;0.966666999999999, 34.95
BGH;Abbaye;Boghe;Mauritania;MR;16.633333;-14.2;545;\N;2378080;16.633333, -14.2
RWB;Rowan Bay;Rowan Bay;United States;US;56.75;-134.133333;67;\N;6252001;56.75, -134.133333
AAO;Anaco;Anaco;Venezuela;VE;9.416667;-64.466667;388;3486270;3625428;9.416667, -64.466667
CKU;City;Cordova;United States;US;9.633333;-74.783333;67;5859888;6252001;9.633333, -74.783333
LWL;Harriet Field;Wells;United States;US;41.116667;-114.966667;67;5709967;6252001;41.116667, -114.966667
HBH;Hobart Bay;Hobart Bay;United States;US;57.408333;-133.466667;67;\N;6252001;57.408333, -133.466667
KST;Kosti;Kosti;Sudan;SD;13.183333;32.733333;583;371760;366755;13.183333, 32.733333
AZI;Bateen;Abu Dhabi;United Arab Emirates;AE;24.428333;54.458056;678;292968;290557;24.428333, 54.458056
BOI;Boise Air Terminal/Gowen Field;Boise, ID;United States;US;43.564444;-116.222778;67;5586437;6252001;43.564444, -116.222778
AYS;Ware County;Waycross;United States;US;31.25;-82.4;67;4229763;6252001;31.25, -82.4
ZBL;Biloela;Biloela;Australia;AU;-24.4;150.5;802;2175819;2077456;-24.4, 150.5
WIO;Wilcannia;Wilcannia;Australia;AU;-31.566667;143.383333;802;\N;2077456;-31.566667, 143.383333
NAN;Nadi International;Nadi;Fiji;FJ;-17.75;177.45;821;\N;2205218;-17.75, 177.45
WEH;Weihai;Weihai;China;CN;32.4375;121.270833;713;1791673;1814991;32.4375, 121.270833
QJI;Heliport;Ikamiut;Greenland;GL;72.233333;-55.05;975;\N;3425505;72.233333, -55.05
OIM;Oshima;Oshima;Japan;JP;34.783333;139.366667;736;\N;1861060;34.783333, 139.366667
UGA;Bulgan;Bulgan;Mongolia;MN;48.8;103.55;751;2032201;2029969;48.8, 103.55
KKO;Kaikohe;Kaikohe;New Zealand;NZ;-35.45;173.816667;851;\N;2186224;-35.45, 173.816667
JAU;Jauja;Jauja;Peru;PE;-11.8;-75.5;368;3937733;3932488;-11.8, -75.5
KBE;Hot Springs SPB;Bell Island;United States;US;55.916667;-131.566667;67;\N;6252001;55.916667, -131.566667
NRB;Ns;Mayport;United States;US;17.65;120.583333;67;\N;6252001;17.65, 120.583333
CSJ;Cape St Jacques;Cape St Jacques;Viet Nam;VN;10.35;107.066667;791;\N;1562822;10.35, 107.066667
BJZ;Talaveral La Real;Badajoz;Spain;ES;38.883333;-6.816667;482;2521420;2510769;38.883333, -6.816667
ULL;Mull;Mull;United Kingdom;GB;56.416667;-6.333333;493;\N;2635167;56.416667, -6.333333
WIC;Wick;Wick;United Kingdom;GB;58.45;-3.083333;493;2633982;2635167;58.45, -3.083333
EMB;Embarkadero;San Francisco;United States;US;-38.7;-60.016667;67;5391959;6252001;-38.7, -60.016667
IUM;Summit Lake;Summit Lake;Canada;CA;54.283333;-122.633333;906;\N;6251999;54.283333, -122.633333
SJM;San Juan;San Juan;Dominican Republic;DO;18.833333;-71.233333;224;3493081;3508796;18.833333, -71.233333
SXD;Sophia Antipolis;Sophia Antipolis;France;FR;43.616667;7.05;427;\N;3017382;43.616667, 7.05
MPY;Maripasoula;Maripasoula;French Guiana;GF;3.666667;-54.033333;344;\N;3381670;3.666667, -54.033333
TIA;Rinas Mother Teresa;Tirana;Albania;AL;41.414722;19.720556;401;3183875;783754;41.414722, 19.720556
TRV;Thiruvananthapuram International;Trivandrum;India;IN;8.482222;76.92;733;1254163;1269750;8.482222, 76.92
DIE;Antsiranana/Arrachart;Antsiranana;Madagascar;MG;-12.35;49.3;541;1069129;1062947;-12.35, 49.3
CAJ;Canaima;Canaima;Venezuela;VE;6.25;-62.833333;388;\N;3625428;6.25, -62.833333
JOL;Jolo;Jolo;Philippines;PH;6.05;121.016667;766;1725854;1694008;6.05, 121.016667
OLP;Olympic Dam;Olympic Dam;Australia;AU;-30.485;136.876667;802;\N;2077456;-30.485, 136.876667
LAF;Purdue University;Lafayette;United States;US;40.416667;-86.933333;67;5735609;6252001;40.416667, -86.933333
GUM;Guam International;Agana;Guam;GU;13.483889;144.797222;5;4044012;4043988;13.483889, 144.797222
TMG;Tomanggong;Tomanggong;Malaysia;MY;5.402778;118.658333;749;\N;1733045;5.402778, 118.658333
SFE;San Fernando;San Fernando;Philippines;PH;16.6;120.3;766;1690060;1694008;16.6, 120.3
GDX;Magadan;Magadan;Russian Federation;RU;59.916667;150.716667;770;2123628;2017370;59.916667, 150.716667
PFD;Port Frederick;Port Frederick;United States;US;57.95;-135.65;67;\N;6252001;57.95, -135.65
SPA;Spartanburg, Downtown Memorial;Spartanburg, SC;United States;US;34.915833;-81.956389;67;4597200;6252001;34.915833, -81.956389
VIS;Visalia;Visalia;United States;US;36.316667;-119.4;67;5406567;6252001;36.316667, -119.4
RIY;Riyan Mukalla;Riyan Mukalla;Yemen;YE;14.65;49.333333;694;\N;69543;14.65, 49.333333
MMQ;Mbala;Mbala;Zambia;ZM;-8.870833;31.333333;597;176146;895949;-8.870833, 31.333333
SXG;Senanga;Senanga;Zambia;ZM;-16.1;23.266666999999998;597;898947;895949;-16.1, 23.266666999999998
LGS;Malargue;Malargue;Argentina;AR;-35.493611;-69.574167;303;\N;3865483;-35.493611, -69.574167
STF;Stephen Island;Stephen Island;Australia;AU;-9.5;143.566667;802;\N;2077456;-9.5, 143.566667
GAY;Gaya;Gaya;India;IN;24.75;84.95;733;1271439;1269750;24.75, 84.95
IXA;Singerbhil;Agartala;India;IN;23.9;91.25;733;1279290;1269750;23.9, 91.25
ASF;Astrakhan;Astrakhan;Russian Federation;RU;46.35;48.05;770;\N;2017370;46.35, 48.05
LEU;Aeroport De La Seu;Seu De Urgel;Spain;ES;42.338611;1.409167;482;\N;2510769;42.338611, 1.409167
ACI;The Blaye;Alderney;United Kingdom;GB;49.7;-2.216667;493;\N;2635167;49.7, -2.216667
MVH;Macksville;Macksville;Australia;AU;-30.716667;152.916667;802;\N;2077456;-30.716667, 152.916667
WRW;Warrawagine;Warrawagine;Australia;AU;-20.966667;120.7;802;\N;2077456;-20.966667, 120.7
OST;Ostend/Bruges International Airport;Ostend;Belgium;BE;51.2;2.866667;409;2789786;2802361;51.2, 2.866667
IPG;Ipiranga;Ipiranga;Brazil;BR;-3.333333;-69.416667;316;\N;3469034;-3.333333, -69.416667
XLU;Leo;Leo;Burkina Faso;BF;11.1;-2.1;593;2358382;2361809;11.1, -2.1
YND;Executive Gatineau-Ottawa;Ottawa;Canada;CA;45.521389;-75.563611;906;6094817;6251999;45.521389, -75.563611
YXU;London International;London;Canada;CA;43.035556;-81.153889;906;6058560;6251999;43.035556, -81.153889
EMY;El Minya;El Minya;Egypt;EG;28.083333;30.733333000000002;591;\N;357994;28.083333, 30.733333000000002
PEG;Sant Egidio;Perugia;Italy;IT;43.095833;12.513333;450;3171180;3175395;43.095833, 12.513333
TOM;Tombouctou;Tombouctou;Mali;ML;16.766666999999998;-3.016667;543;2449067;2453866;16.766666999999998, -3.016667
MWM;Windom Municipal;Windom, MN;United States;US;43.913333;-95.109444;67;5053084;6252001;43.913333, -95.109444
JOI;Lauro Carneiro De Loyola;Joinville;Brazil;BR;-26.217778;-48.800278;316;3459712;3469034;-26.217778, -48.800278
HLD;Hailar;Hailar;China;CN;49.2;119.7;713;2037078;1814991;49.2, 119.7
ILX;Ileg;Ileg;Papua New Guinea;PG;-5.483333;145.833333;804;\N;2088628;-5.483333, 145.833333
SXW;Sauren;Sauren;Papua New Guinea;PG;65.483333;12.133333;804;\N;2088628;65.483333, 12.133333
BGZ;Braga;Braga;Portugal;PT;41.583333;-8.45;469;2742032;2264397;41.583333, -8.45
HOF;Alahsa;Alahsa;Saudi Arabia;SA;25.285278;49.485278;670;\N;102358;25.285278, 49.485278
LUJ;Lusikisiki;Lusikisiki;South Africa;ZA;-31.366667;29.583333;562;\N;953987;-31.366667, 29.583333
NEA;Brunswick Golden Isles;Glynco;United States;US;51.679444;-3.628056;67;\N;6252001;51.679444, -3.628056
JSU;Heliport;Maniitsoq;Greenland;GL;65.4;-52.866667;975;3421982;3425505;65.4, -52.866667
GWL;Gwalior;Gwalior;India;IN;26.283333;78.233333;733;1270583;1269750;26.283333, 78.233333
MRE;Mara Lodges;Mara Lodges;Kenya;KE;-1.183333;35.1;535;\N;192950;-1.183333, 35.1
NNA;NAF;Kenitra;Morocco;MA;34.3;-6.6;548;2544571;2542007;34.3, -6.6
ORD;Chicago O'hare International;Chicago, Il;United States;US;41.978611;-87.904722;67;4887398;6252001;41.978611, -87.904722
WFK;Frenchville;Frenchville;United States;US;47.35;-68.383333;67;\N;6252001;47.35, -68.383333
MBG;Mobridge;Mobridge;United States;US;34.741667;73.625;67;5767189;6252001;34.741667, 73.625
FMY;Page Field;Fort Myers;United States;US;26.583333;-81.866667;67;4155995;6252001;26.583333, -81.866667
PCT;Princeton;Princeton;United States;US;40.35;-74.666667;67;5268096;6252001;40.35, -74.666667
AXK;Ataq;Ataq;Yemen;YE;14.533333;46.816667;694;\N;69543;14.533333, 46.816667
ZMY;Harbour;Huangpu;China;CN;30.55;116.433333;713;1807301;1814991;30.55, 116.433333
HUG;Huehuetenango;Huehuetenango;Guatemala;GT;15.333333;-91.466667;127;3595416;3595530;15.333333, -91.466667
NPO;Nangapinoh;Nangapinoh;Indonesia;ID;-0.366666999999999;111.75;832;\N;1643084;-0.366666999999999, 111.75
WAI;Antsohihy;Antsohihy;Madagascar;MG;-14.916667;47.95;541;1068971;1062947;-14.916667, 47.95
PZU;Port Sudan;Port Sudan;Sudan;SD;19.433611;37.234167;583;\N;366755;19.433611, 37.234167
THS;Sukhothai;Sukhothai;Thailand;TH;17.216667;99.816667;467;\N;1605651;17.216667, 99.816667
YBF;Bamfield;Bamfield;Canada;CA;48.833333;-125.133333;906;\N;6251999;48.833333, -125.133333
YHT;Haines Junction;Haines Junction;Canada;CA;60.75;-137.5;906;5969025;6251999;60.75, -137.5
YSG;Lutselke;Lutselke/Snowdrift;Canada;CA;62.4;-110.75;906;\N;6251999;62.4, -110.75
VTE;Wattay;Vientiane;Laos;LA;17.983333;102.566667;744;1651944;1655842;17.983333, 102.566667
SWV;Shikarpur;Shikarpur;Pakistan;PK;29.166667;70.433333;764;1165108;1168579;29.166667, 70.433333
HIT;Hivaro;Hivaro;Papua New Guinea;PG;38.328333;67.627778;804;\N;2088628;38.328333, 67.627778
KIZ;Kikinonda;Kikinonda;Papua New Guinea;PG;-8.65;147.916667;804;\N;2088628;-8.65, 147.916667
XBE;Bearskin Lake;Bearskin Lake;Canada;CA;53.966667;-91.05;906;\N;6251999;53.966667, -91.05
YRJ;Roberval;Roberval;Canada;CA;48.533333;-72.266667;906;6125653;6251999;48.533333, -72.266667
SBB;Santa Barbara Ba;Santa Barbara de Barinas;Venezuela;VE;7.803611;-71.165833;388;\N;3625428;7.803611, -71.165833
BZU;Buta;Buta;Zaire;ZR;2.8;24.733333000000002;517;\N;;2.8, 24.733333000000002
ZVA;Miandrivazo;Miandrivazo;Madagascar;MG;-19.55;45.45;541;1059051;1062947;-19.55, 45.45
